,4.0-14.0,4.0-20.0,4.0-40.0,6.0-18.0
2019-03-29 15:23:04.501000,2.9131971709434758e-08,2.989918018741136e-08,3.018773862535779e-08,2.7589420471723674e-08
2019-03-29 15:38:04.501000,3.305456647937049e-08,3.380239952959011e-08,3.4117646593398005e-08,3.1522265890356285e-08
2019-03-29 15:53:04.501000,2.7339630266243628e-08,2.8166058133409735e-08,2.8518203155725766e-08,2.6080192534724628e-08
2019-03-29 16:08:04.501000,2.5987632087537943e-08,2.6794753205682473e-08,2.713893260736512e-08,2.4936072302860007e-08
2019-03-29 16:23:04.501000,2.558973104632828e-08,2.6449926493231294e-08,2.6808029615756663e-08,2.415986547441467e-08
2019-03-29 16:38:04.501000,3.3865315233307195e-08,3.47168409528369e-08,3.5055635087502625e-08,3.206156115394069e-08
2019-03-29 16:53:04.501000,3.705430485716558e-08,3.7920738266883315e-08,3.831769562761536e-08,3.475098631021401e-08
2019-03-29 17:08:04.501000,4.5399341525605386e-08,4.618804234250249e-08,4.6562598560564554e-08,4.3401374914607085e-08
2019-03-29 17:23:04.501000,4.4059570738480984e-08,4.502184218725444e-08,4.544946974463944e-08,4.133596690669783e-08
2019-03-29 18:00:01.411000,2.8704179439174325e-08,2.9683297006072168e-08,3.0073048968880016e-08,2.719918854902565e-08
2019-03-29 18:15:01.411000,2.5127616027925497e-08,2.625796186765742e-08,2.668480685043624e-08,2.4428130874016092e-08
2019-03-29 18:30:01.411000,2.439969907438716e-08,2.5456073072407615e-08,2.5813388396153153e-08,2.3637555369402814e-08
2019-03-29 18:45:01.411000,2.7025360747652402e-08,2.8635951034093007e-08,2.9026878653718406e-08,2.6862960750446893e-08
2019-03-29 19:00:01.411000,4.178655202532513e-08,4.411525402002869e-08,4.450831800656205e-08,4.307197399478595e-08
2019-03-29 19:15:01.411000,4.1741008041309564e-08,4.470843887018491e-08,4.511091926621055e-08,4.38400290116835e-08
2019-03-29 19:30:01.411000,2.0701547956661146e-08,2.519582749551833e-08,2.5789431500820216e-08,2.3137240554599475e-08
2019-03-29 19:45:01.411000,2.3511302098514142e-08,2.61158418761573e-08,2.6633720044258364e-08,2.295951818612125e-08
2019-03-29 20:00:01.411000,2.084850651770389e-08,2.360169224580692e-08,2.411596606960875e-08,2.0604094893139115e-08
2019-03-29 20:15:01.411000,1.521661952642591e-08,1.8780613119251628e-08,1.9424395935845082e-08,1.7543041496762973e-08
2019-03-29 20:30:01.411000,1.491317356923413e-08,1.8724619820174692e-08,1.940048045039664e-08,1.759143187592533e-08
2019-03-29 20:45:01.411000,1.4564365594080162e-08,1.8344635162995178e-08,1.9022361543827527e-08,1.721481807868061e-08
2019-03-29 21:00:01.411000,1.3498316387077756e-08,1.739464033149643e-08,1.8069717118677142e-08,1.620501455758607e-08
2019-03-29 21:15:01.411000,1.2323889563220163e-08,1.639108291429946e-08,1.704623882757047e-08,1.5166239329003192e-08
2019-03-29 21:30:01.411000,1.0181059910703217e-08,1.1939539067143375e-08,1.2255904827656523e-08,1.071999225469264e-08
2019-03-29 21:45:01.411000,9.1429191006662e-09,9.25997401719687e-09,9.297849622240382e-09,8.0567458619128e-09
2019-03-29 22:00:01.411000,7.594194977733902e-09,7.701936084947114e-09,7.739539096176919e-09,6.591334970771608e-09
2019-03-29 22:15:01.411000,6.671122170530149e-09,6.77052920251396e-09,6.80665031568056e-09,5.458302333072496e-09
2019-03-29 22:30:01.411000,6.526015891326962e-09,6.627606331139157e-09,6.656531272581489e-09,5.278268159780265e-09
2019-03-29 22:45:01.411000,6.555358236328208e-09,6.65082256101172e-09,6.682245023227387e-09,5.1856536792101145e-09
2019-03-29 23:00:01.411000,6.2738716176546896e-09,6.367742447752753e-09,6.401934676385909e-09,5.229834001261583e-09
2019-03-29 23:15:01.411000,7.461267395546394e-09,7.62306241692858e-09,7.67139126229595e-09,6.654446637789823e-09
2019-03-29 23:30:01.411000,8.89315514601096e-09,9.108986474738759e-09,9.174999820805206e-09,8.29652213661396e-09
2019-03-29 23:45:01.411000,7.514361019705197e-09,7.67777250641482e-09,7.732450278389017e-09,6.824972937485515e-09
2019-03-30 00:00:01.411000,5.895653234957093e-09,6.0158796170412495e-09,6.064579702389453e-09,4.963341764939813e-09
2019-03-30 00:15:01.411000,5.913167825336538e-09,6.018000825969454e-09,6.054441844087585e-09,4.863643150653718e-09
2019-03-30 00:30:01.411000,5.5149743632544636e-09,5.606162614433997e-09,5.639034281129574e-09,4.499272480655557e-09
