,4.0-14.0,4.0-20.0,4.0-40.0,6.0-18.0
2019-12-31 18:00:01.088000,1.673940932445912e-08,1.8529080044683e-08,1.879108709874732e-08,1.7662933224726052e-08
2019-12-31 18:15:01.088000,1.640147822447093e-08,1.806849251982776e-08,1.8320035809091317e-08,1.723759542162803e-08
2019-12-31 18:30:01.088000,1.6139635157177032e-08,1.7929371717441575e-08,1.818183008780441e-08,1.713184031631268e-08
2019-12-31 18:45:01.088000,1.6444573686898482e-08,1.8195431560035825e-08,1.8454448268644124e-08,1.7381321693423024e-08
2019-12-31 19:00:01.088000,1.5955437509172015e-08,1.7674979074902522e-08,1.7906096058020763e-08,1.689381339577321e-08
2019-12-31 19:15:01.088000,1.6024901673909496e-08,1.785777847680033e-08,1.8096696838817193e-08,1.706508555125863e-08
2019-12-31 19:30:01.088000,1.601499431625703e-08,1.769371416588568e-08,1.7921982174266157e-08,1.6873093266157596e-08
2019-12-31 19:45:01.088000,1.5522210678994917e-08,1.70887796300151e-08,1.7299916921644065e-08,1.6306613733306238e-08
2019-12-31 20:00:01.088000,1.535893312972845e-08,1.6967873193646392e-08,1.7186606699880773e-08,1.6221179681941753e-08
2019-12-31 20:15:01.088000,1.4644007403031254e-08,1.60659247531449e-08,1.6262158555934578e-08,1.5163472080565992e-08
2019-12-31 20:30:01.088000,1.3187222923118794e-08,1.4623661994664299e-08,1.4810714714244463e-08,1.378436006679067e-08
2019-12-31 20:45:01.088000,1.2125496821575801e-08,1.347077609369248e-08,1.3651645167088981e-08,1.2826994032940305e-08
2019-12-31 21:00:01.088000,1.1934965696468696e-08,1.3052339325584495e-08,1.3204044461540082e-08,1.2471077333767767e-08
2019-12-31 21:15:01.088000,1.0921574315428464e-08,1.2065672145948798e-08,1.2205732282982874e-08,1.142990342056518e-08
2019-12-31 21:30:01.088000,9.649841121742862e-09,1.0837908534668024e-08,1.0985232500680924e-08,1.0200918058220985e-08
2019-12-31 21:45:01.088000,9.719668533048635e-09,1.0555850373953e-08,1.0670391793145786e-08,9.906640560388322e-09
2019-12-31 22:00:01.088000,8.778502378416536e-09,9.664636214204531e-09,9.762197350434406e-09,9.204645038071806e-09
2019-12-31 22:15:01.088000,8.387186593523549e-09,9.294470882590366e-09,9.38645675853501e-09,8.850503543847832e-09
2019-12-31 22:30:01.088000,7.712252944669324e-09,8.532369447430075e-09,8.625440549956226e-09,8.055574349791445e-09
2019-12-31 22:45:01.088000,7.0540660336303515e-09,7.86583001905496e-09,7.964820065851231e-09,7.3824612469595034e-09
2019-12-31 23:00:01.088000,6.699185896067871e-09,7.374328694334606e-09,7.484888692142236e-09,6.926203604353561e-09
2019-12-31 23:15:01.088000,6.38597693029191e-09,7.104090105604758e-09,7.198499901266133e-09,6.665229471356322e-09
2019-12-31 23:30:01.088000,6.180981621146776e-09,6.887743481874196e-09,6.9503122273789814e-09,6.481273409916665e-09
2019-12-31 23:45:01.088000,5.8509923347074536e-09,6.550428075079904e-09,6.621942636728882e-09,6.050320522648719e-09
2020-01-01 00:00:01.088000,5.594677685624939e-09,6.020967815186322e-09,6.086217479830813e-09,5.5847991861054714e-09
2020-01-01 00:15:01.088000,6.4578879780202954e-09,6.9651095885767665e-09,7.024187394841869e-09,6.613553817448509e-09
2020-01-01 00:30:01.088000,7.403498402400443e-09,7.995448629983805e-09,8.057522759738254e-09,7.580606647613711e-09
2020-01-01 00:45:01.088000,7.281307384966301e-09,7.956845328793677e-09,8.027326605971464e-09,7.4424444795945255e-09
2020-01-01 01:00:01.088000,7.1729076502817e-09,8.048188971918776e-09,8.12642224285925e-09,7.533198578724065e-09
2020-01-01 01:15:01.088000,5.731659095329085e-09,6.664644496706385e-09,6.760174299880583e-09,6.2336007511056285e-09
2020-01-01 01:30:01.088000,6.590327383946395e-09,7.634654681998705e-09,7.758897613983214e-09,7.129899818277331e-09
2020-01-01 01:45:01.088000,6.623206630886002e-09,7.544058024191587e-09,7.663203202019107e-09,7.000646107738419e-09
2020-01-01 02:00:01.088000,5.596341338845181e-09,6.292783911807875e-09,6.388366759431524e-09,5.87752892876191e-09
2020-01-01 02:15:01.088000,6.194163921619596e-09,6.818453777484913e-09,6.901079343298464e-09,6.390534014345722e-09
2020-01-01 02:30:01.088000,6.1911359732951904e-09,6.863834086768784e-09,6.937772429308164e-09,6.507999342770667e-09
2020-01-01 02:45:01.088000,6.281115980818048e-09,6.9604899126790896e-09,7.0236536548946785e-09,6.604757151915982e-09
2020-01-01 03:00:01.088000,6.446062836279339e-09,6.949759764545898e-09,7.010864365608198e-09,6.642980490208599e-09
2020-01-01 03:15:01.088000,6.0788894873996435e-09,6.565180549922642e-09,6.627115006172527e-09,6.303008656017613e-09
2020-01-01 03:30:01.088000,4.890439420569802e-09,5.442264674447309e-09,5.503692763443037e-09,5.173716269214664e-09
2020-01-01 03:45:01.088000,5.694625753044624e-09,6.209022000564996e-09,6.263012033758963e-09,5.908257871322214e-09
2020-01-01 04:00:01.088000,4.890233268197045e-09,5.4428976305121616e-09,5.507306825332541e-09,5.184038820490128e-09
2020-01-01 04:15:01.088000,5.060411586845335e-09,5.676473833088106e-09,5.748205574469196e-09,5.398607207821091e-09
2020-01-01 04:30:01.088000,5.202199938999938e-09,5.770690987396243e-09,5.83275228022009e-09,5.49824404861437e-09
2020-01-01 04:45:01.088000,4.933213778004464e-09,5.54435409992243e-09,5.616766855106641e-09,5.26825580302749e-09
2020-01-01 05:00:01.088000,4.794124788829954e-09,5.407751848845855e-09,5.490171963334181e-09,5.097752875215018e-09
2020-01-01 05:15:01.088000,4.57401120429385e-09,5.18382004709429e-09,5.273577600928041e-09,4.7851238272680735e-09
2020-01-01 05:30:01.088000,6.441020895797403e-09,7.0993323194068546e-09,7.178490194385813e-09,6.75442472388672e-09
2020-01-01 05:45:01.088000,6.742393906710691e-09,7.449246215634085e-09,7.529565133981586e-09,7.0803611734969385e-09
2020-01-01 06:00:01.088000,6.736333495906762e-09,7.43893678786258e-09,7.542790067468877e-09,6.990933223021889e-09
2020-01-01 06:15:01.088000,7.009123541795171e-09,7.750860917785687e-09,7.849801867293355e-09,7.367418203901618e-09
2020-01-01 06:30:01.088000,6.695804260134144e-09,7.395897176815681e-09,7.500848803728141e-09,7.056986342047224e-09
2020-01-01 06:45:01.088000,6.985541885262449e-09,7.626148926234094e-09,7.765672907293857e-09,7.251039794430904e-09
2020-01-01 07:00:01.088000,8.698896172643513e-09,9.422487951182566e-09,9.531813914868223e-09,8.966877235344479e-09
2020-01-01 07:15:01.088000,9.66404418246505e-09,1.052117253447759e-08,1.0651156327514418e-08,1.0073411378062613e-08
2020-01-01 07:30:01.088000,9.766123537124979e-09,1.0783492437861633e-08,1.0932366608700373e-08,1.0290251777565886e-08
2020-01-01 07:45:01.088000,9.920309803336043e-09,1.1030718522535938e-08,1.1207242499631112e-08,1.0539047614087756e-08
2020-01-01 08:00:01.088000,1.0370545219386236e-08,1.1486973024033389e-08,1.1680597714987553e-08,1.0929963179042516e-08
2020-01-01 08:15:01.088000,1.0987757158959612e-08,1.2142199756152216e-08,1.2342794754999379e-08,1.1636611991198728e-08
2020-01-01 08:30:01.088000,1.0499795212963825e-08,1.1524118558679894e-08,1.1690523832582496e-08,1.0988804319779879e-08
2020-01-01 08:45:01.088000,1.1681456252773637e-08,1.266803407625354e-08,1.2832011971833039e-08,1.2158869317256398e-08
