,4.0-14.0,4.0-20.0,4.0-40.0,6.0-18.0
2020-01-02 12:09:22.597999,1.2817615735133371e-08,3.933863611389485e-08,4.169727738383541e-08,3.836587099724875e-08
2020-01-02 12:24:22.597999,1.1059972119145021e-08,3.0154544707492264e-08,3.113711865780644e-08,2.8996542407805327e-08
2020-01-02 12:39:22.597999,1.3112525958168284e-08,3.171888885242135e-08,3.277987258735326e-08,3.007118208771942e-08
2020-01-02 12:54:22.597999,1.1414110707380125e-08,2.42893431348582e-08,2.56703930714196e-08,2.26220096461802e-08
2020-01-02 13:09:22.597999,1.0288562949725084e-08,1.4191672795695857e-08,1.6466902893864634e-08,1.1760510970123164e-08
2020-01-02 13:24:22.597999,1.0564357042448235e-08,3.285380258561422e-08,3.399008478433562e-08,3.188955754149362e-08
2020-01-02 13:39:22.597999,1.0522758843442975e-08,4.2913230149468045e-08,4.355821697320967e-08,4.227515425076513e-08
2020-01-02 13:54:22.597999,1.3116876064377116e-08,4.399274637649469e-08,4.460810970356878e-08,4.2906281536223294e-08
2020-01-03 10:30:43.968000,1.2568012938276469e-08,1.5638529958044057e-08,1.7383890746568374e-08,1.2059035610392567e-08
2020-01-03 10:45:43.968000,1.046519689233436e-08,1.3992287232029215e-08,1.5922095798278226e-08,1.1555280759258053e-08
2020-01-03 11:00:43.968000,1.0725985105387111e-08,1.3855092380767548e-08,1.5656025861575394e-08,1.1554396334609152e-08
2020-01-03 11:15:43.968000,1.0869557106279034e-08,1.4502963655904632e-08,1.6496423796058673e-08,1.1895438713749031e-08
2020-01-03 11:30:43.968000,1.0379075071945836e-08,1.422270566675087e-08,1.6127070279491278e-08,1.1542421643316695e-08
2020-01-03 11:45:43.968000,1.084797835139819e-08,1.411467922770863e-08,1.5835581851291348e-08,1.1630361289925878e-08
2020-01-03 12:00:43.968000,1.2221843949939569e-08,1.4695678970203394e-08,1.5935535355771273e-08,1.1569245881125113e-08
2020-01-03 12:15:43.968000,1.2939991496450321e-08,1.5575568678721143e-08,1.711644180642255e-08,1.2572732296816862e-08
2020-01-03 12:30:43.968000,1.1488685601012802e-08,1.5212642762194108e-08,1.7233957258162073e-08,1.2845823582821966e-08
2020-01-03 12:45:43.968000,1.0672089645302474e-08,1.5072313332703915e-08,1.7583117666043957e-08,1.2402964661253345e-08
2020-01-03 13:00:43.968000,1.0370209691527687e-08,1.4734216934370581e-08,1.7220599608670445e-08,1.196582297710765e-08
2020-01-03 13:15:43.968000,1.217478988464598e-08,1.680994599607456e-08,1.9453362216104815e-08,1.3482029176239517e-08
2020-01-03 13:30:43.968000,1.0822870697528777e-08,1.486104978809713e-08,1.704472749853602e-08,1.1970153773435315e-08
2020-01-03 13:45:43.968000,1.1174705312200272e-08,1.4689380747693314e-08,1.6949901505224357e-08,1.1939455101319565e-08
2020-01-03 14:00:43.968000,1.1145389750878862e-08,1.4431662020559084e-08,1.613822673776581e-08,1.1955029879951415e-08
2020-01-03 14:15:43.968000,1.1011075793307624e-08,1.4334927217521675e-08,1.612446231484355e-08,1.1846802685472943e-08
2020-01-03 14:30:43.968000,1.0940685535549914e-08,1.4933368179036626e-08,1.741898683364937e-08,1.2218063411394834e-08
2020-01-03 14:45:43.968000,1.0853155816147449e-08,1.5508003355712452e-08,1.83149875153756e-08,1.2832536601259149e-08
2020-01-03 15:00:43.968000,1.1125858766725212e-08,1.579071224975929e-08,1.8140941529208564e-08,1.3122633906824862e-08
2020-01-03 15:15:43.968000,1.082314471245052e-08,1.5015380548586915e-08,1.705346289125284e-08,1.2347212235366821e-08
2020-01-03 15:30:43.968000,1.0857815274640108e-08,1.510059279260893e-08,1.7256269052680634e-08,1.2334352927508131e-08
2020-01-03 15:45:43.968000,1.0873066960582631e-08,1.443604262653062e-08,1.6303355531614896e-08,1.2095158613458067e-08
2020-01-03 16:00:43.968000,1.0689682419663593e-08,1.450221405936017e-08,1.6333969531853965e-08,1.1998456557695175e-08
